,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Mar del Plata,-38.0,-57.56,52.26799999999999,87,0,2.1,AR,1604117421
101,Mossamedes,-15.2,12.15,73.4,79,74,2.57,AO,1604117489
102,Khatanga,71.97,102.5,-9.796,85,0,2.46,RU,1604117489
103,Äänekoski,62.69,25.82,37.274000000000015,100,90,1.5,FI,1604117489
104,College,64.86,-147.8,10.669999999999959,78,90,2.1,US,1604117489
105,Verkhoyansk,67.54,133.38,-1.444000000000024,89,98,1.49,RU,1604117489
106,Los Llanos de Aridane,28.66,-17.92,71.86999999999996,43,0,4.1,ES,1604117489
107,Thompson,55.74,-97.86,17.86999999999996,78,90,3.1,CA,1604117326
108,Sitka,57.05,-135.33,46.66999999999996,87,90,4.6,US,1604117490
109,Hithadhoo,-0.6,73.08,84.10999999999999,73,100,4.53,MV,1604117490
110,Severo-Kuril'sk,50.68,156.12,40.567999999999984,92,100,17.19,RU,1604117268
111,Ancud,-41.87,-73.82,50.26999999999996,76,0,3.1,CL,1604117428
112,Saint-Joseph,-21.37,55.62,70.06999999999996,52,75,4.6,RE,1604117490
113,Kulhudhuffushi,6.62,73.07,82.30999999999997,67,0,1.79,MV,1604117490
114,Novikovo,51.15,37.89,48.434,93,100,2.64,RU,1604117490
115,Samarai,-10.62,150.67,82.92200000000004,74,92,3.5,PG,1604117446
116,Mahon,39.89,4.27,61.069999999999965,93,0,2.1,ES,1604117436
117,Nanortalik,60.14,-45.24,27.661999999999956,92,88,4.82,GL,1604117303
118,Laela,-8.57,32.05,63.82400000000001,70,62,3.08,TZ,1604117491
119,Anadyr,64.75,177.48,8.869999999999958,84,0,5.0,RU,1604117491
120,Bar Harbor,44.39,-68.2,32.26999999999996,63,1,2.6,US,1604117491
121,Ürümqi,43.8,87.6,44.86999999999996,52,0,1.0,CN,1604117491
122,Barrow,71.29,-156.79,10.669999999999959,85,1,5.7,US,1604117232
123,Tahoua,14.89,5.27,73.66999999999996,23,0,2.1,NE,1604117491
124,Tomatlán,19.93,-105.25,76.51400000000004,91,99,0.82,MX,1604117491
125,Margate,51.38,1.39,57.272000000000034,80,13,3.13,GB,1604117325
126,Tura,25.52,90.22,82.81400000000004,72,94,1.09,IN,1604117463
127,Lüderitz,-26.65,15.16,58.31600000000001,63,100,10.46,NA,1604117492
128,Maroantsetra,-15.43,49.73,71.45600000000003,79,97,4.44,MG,1604117492
129,Maragogi,-9.01,-35.22,76.40600000000003,87,100,4.4,BR,1604117492
130,São Filipe,14.9,-24.5,80.56400000000004,64,100,7.11,CV,1604117492
131,Port Macquarie,-31.43,152.92,81.26600000000002,63,25,1.34,AU,1604117492
132,Fayetteville,35.05,-78.88,54.266000000000005,54,1,4.1,US,1604117187
133,Lebu,-37.62,-73.65,51.530000000000044,90,3,5.48,CL,1604117421
134,Antsohihy,-14.88,47.99,77.70199999999997,45,75,6.4,MG,1604117493
135,Wajir,1.75,40.06,76.28000000000004,73,48,5.29,KE,1604117493
136,Abay,49.63,72.85,23.26999999999996,85,0,0.13,KZ,1604117493
137,Narón,43.52,-8.15,64.27400000000002,82,90,5.1,ES,1604117493
138,Dingle,11.0,122.67,85.98200000000003,73,100,4.87,PH,1604117493
139,Gamba,-2.65,10.0,75.18200000000002,92,100,1.33,GA,1604117260
140,Airai,-8.93,125.41,80.29399999999998,42,0,2.11,TL,1604117493
141,Lucea,18.45,-78.17,82.66999999999996,78,40,2.6,JM,1604117493
142,Preobrazheniye,42.9,133.91,51.116000000000014,70,64,6.35,RU,1604117494
143,Lata,40.16,-8.33,61.26799999999999,100,0,2.1,PT,1604117494
144,Hamilton,39.18,-84.53,39.469999999999956,93,1,1.84,US,1604117446
145,Madang,-5.22,145.8,85.83800000000005,62,93,3.01,PG,1604117449
146,Wakkanai,45.41,141.67,52.069999999999965,66,40,5.7,JP,1604117494
147,Chui,-33.7,-53.46,53.41999999999996,86,99,2.72,UY,1604117494
148,Elko,41.0,-115.5,48.272000000000034,26,1,1.5,US,1604117494
149,Morondava,-20.28,44.28,78.18800000000005,47,0,5.02,MG,1604117495
150,Carnarvon,-24.87,113.63,79.06999999999996,57,90,6.7,AU,1604117270
151,Kasongo-Lunda,-6.47,16.82,68.30600000000004,94,96,0.32,CD,1604117495
152,Tashara,55.52,83.51,34.80800000000001,97,100,4.19,RU,1604117495
153,Evinayong,1.44,10.55,68.108,99,99,0.86,GQ,1604117495
154,Galveston,29.37,-94.97,64.27400000000002,63,1,4.1,US,1604117495
155,Solnechnyy,50.72,136.63,40.477999999999966,69,64,2.48,RU,1604117452
156,Sørland,67.67,12.69,48.97400000000002,74,100,12.24,NO,1604117496
157,Glencoe,-28.18,30.15,57.092,84,100,1.76,ZA,1604117496
158,Saint George,37.1,-113.58,62.86999999999996,18,1,0.95,US,1604117356
159,Kununurra,-15.77,128.73,102.46999999999996,24,91,2.1,AU,1604117496
160,Denpasar,-8.65,115.22,76.19000000000003,88,100,1.03,ID,1604117496
161,Camopi,3.17,-52.32,72.842,97,12,1.16,GF,1604117496
162,Myitkyina,25.38,97.4,83.49800000000002,62,62,0.85,MM,1604117496
163,Mehamn,71.04,27.85,30.109999999999978,94,30,4.26,NO,1604117497
164,Nālūt,30.33,10.85,53.690000000000026,88,2,3.94,LY,1604117497
165,Beloha,-25.17,45.05,68.70199999999997,59,0,5.04,MG,1604117422
166,Laguna,38.42,-121.42,60.27799999999996,66,1,1.31,US,1604117497
167,Portland,45.52,-122.68,51.27799999999996,78,32,1.61,US,1604117463
168,Fairbanks,64.84,-147.72,11.264000000000031,85,90,0.94,US,1604117437
169,Piaçabuçu,-10.41,-36.43,76.55000000000001,87,71,4.98,BR,1604117497
170,Abapó,-18.83,-63.47,58.24399999999997,53,0,1.64,BO,1604117497
171,Qazanbulaq,40.62,46.65,50.26999999999996,87,40,1.0,AZ,1604117497
172,Alice,27.75,-98.07,55.66999999999996,71,1,1.5,US,1604117498
173,Vaniyambadi,12.68,78.62,81.66199999999995,62,0,0.88,IN,1604117498
